ID,Sequences,Sites,FG q-value,BG q-value,DIFF q-value,S.Sites (FG),S.Sites (BG),L (FG),L (BG),RELAX q-value,RELAX K,ω1,p1,ω2,p2,ω3,p3,ω1 BG,p1 BG,ω2 BG,p2 BG,ω3 BG,p3 BG,PH,TYPE
ENST00000577269.EIF4A1,217,382,0.5,0.1165323820077818,0.9718344595753444,0,1,0.24188271317739823,3.4933026011797343,0.7328401577133847,0.4873999999999999,0.02784039605498205,0.5513423135764789,0.02839131194646997,0.4486576864235211,1.002099138693579,0,0.004367248051015389,0.006995450884717918,0.02396377879813584,0.9929040697903666,64.39299525234304,0.0001004793249154757,false,C000
ENST00000521508.ALG11,215,541,0.01914145822597518,0.008596846458278518,1,0,0,0.4426570408488428,6.03938349263948,0.7831761666337511,0.9671710473082059,0.1577932757556128,0.8473777997143456,0.3298802849229599,0.1508036938857963,27.21258910477802,0.001818506399858108,0,0.01811305902881245,0.1712861667049787,0.9795936498876784,10.51754263974708,0.002293291083509169,false,C110
ENST00000545805.SLC25A14,213,337,0.5,0.00001580888411611969,0.7313793939329276,0,2,0.1591941828529786,2.39768979654027,0.1835013534636023,1.155759115267795,0.003472978067261979,0.8014815278710842,0.08232374032920826,0.1949245305471579,1,0.003593941581757876,0.03607383514843997,0.9426843246388333,0.04162444656207607,0.05721436020295004,269.9386946914089,0.0001013151582166165,false,C010
ENST00000550311.AMHR2,215,620,0.5,0.005566783407277009,0.7712146703326432,0,1,0.33451596871580336,5.318363453027433,0.4859440059404374,0.9319994168511686,0.07886190507509964,0,0.2817450019853637,1,1.002381823625277,0,0,0.01037968097825889,0.2864098712794537,0.9877687846073243,15.53841780554036,0.001851534414416793,false,C010
ENST00000610565.CCL4L2,217,188,0.01107542610339723,4.659248542537853e-10,0.03268165690359437,0,25,1.6695503382118178,21.816510171676118,0.0349268924450068,0.7450084463658889,0.5156327470524198,0.00008083055705276372,0.5437761122714051,0.9882018892866585,42.67169161100096,0.01171728015628871,0.1293076922686592,0.1088644955641238,0.1323273947184773,0.68427255308631,2.265756547925735,0.2068629513495662,false,C111
ENST00000414099.SCN5A,211,2385,0.4971485380257634,3.791203678771282e-8,1,0,6,0.323694273606609,4.967559118856042,0.0000011217083684123,0.6916788491420477,0.05622232919741262,0.1628349651830245,0.08016832353792337,0.8146517897986831,1.052034691439708,0.02251324501829238,0,0.1781274023328449,0.07189557266070042,0.8188679555783863,5.369622068610714,0.003004642088768814,false,C010
ENST00000307877.SRP68,214,732,3.199637299555746e-8,0.5,0.637822158495372,2,0,1.1616723785495886,5.289128106584857,0.408905784515205,0.9293951990801731,0,0.6975097068027275,0.2305421776916486,0.3022551674734915,2846.295686752149,0.0002351257237810336,0,0.1760143075168073,0.000004367534429739199,0.4217459847942242,0.1395164518007943,0.4022397076889685,false,C100
ENST00000257555.HNF1A,213,703,0.5,0,0.8104071946070831,0,8,0.3431982165102437,4.972917638286241,1,1,0.04525035017730054,0.5597319255522484,0.04642861397917752,0.4402680744477517,1.14115082373773,0,0.04484066906030541,0.9722143216680078,0.0540336213211223,0.02752225684152401,119.8264638577194,0.0002634214904681876,false,C010
ENST00000648680.KIF1A,206,1884,0.1260840322671113,0.5,1,0,0,0.43415053634681094,5.163306060936268,0.00009910709718163879,0.7548950597741698,0.02544289824196201,0.4082700374924344,0.02896119692712809,0.5901217055092234,4.387877788702664,0.001608256998342176,0.01477628675811995,0.936660308720527,0.02137045027560125,0.05255312629599422,1,0.01078656498347889,false,C000
ENST00000614342.SALL2,203,1436,0.5,9.790895943995181e-8,0.004489634649391672,0,1,0.42637346510869145,5.446389612253151,0.0007499229717927713,1.198795893894688,0,0.6673245763536608,0.2926526407719077,0.3326754236463392,1.002316534734266,0,0.00001651324483095085,0.3522887525051269,0.1917660632623144,0.6474436719504707,50.42078083643842,0.000267575544402389,false,C011
