ID,Sequences,Sites,FG q-value,BG q-value,DIFF q-value,S.Sites (FG),S.Sites (BG),L (FG),L (BG),RELAX q-value,RELAX K,ω1,p1,ω2,p2,ω3,p3,ω1 BG,p1 BG,ω2 BG,p2 BG,ω3 BG,p3 BG,PH,TYPE
ENST00000367315.TNNT2,205,439,0.0001338541503010937,0,1,3,25,0.6175914974615849,6.017752575787533,0.1132504170624236,0.7424734582913409,0.01344589477192734,0.06732654297868546,0.06197043859078894,0.9088238539195155,6.727826795205024,0.02384960310179907,0,0.027324742022783,0.09027366840531262,0.9668437315775443,16.15549148344899,0.005831526399672668,false,C110
ENST00000327569.ATP11C,215,1164,0.002017263986169637,3.71256353437488e-9,5.810085745849847e-11,1,8,0.2774519709396076,14.155678943410804,4.221024640926885e-10,0.749169552994507,0.1770977040904647,0.9922220183936594,0.2075276576343603,0.004981832596493218,20.84112852817836,0.00279614900984736,0.09140003283076853,0.9708034502647412,0.09170556282158794,0.02615475235234741,10.49676040865462,0.003041797382911346,false,C111
ENST00000566206.CYLD,217,1046,0.00001918467607653351,0,0.000002419863714631099,0,15,0.5867652162881747,9.961683334423197,4.492429356295347e-7,0.6689624965858428,0.0481586176027517,0.8657050017996911,0.4469806739002279,0.133008441526257,68.63647075294547,0.001286556674051914,0,0.8926138211694751,0.7064017285836821,0.1069863903401249,1506.676880619348,0.0003997884904000012,false,C111
ENST00000297788.CCDC136,218,1983,2.14321227820502e-7,0,0,0,35,0.6507238214743971,7.960285605368289,0.5881059221035931,0.9592135402523239,0.4519947715302292,0.9679981237816908,0.9113691997505561,0.02326759836854276,18.72195003495375,0.00873427784976643,0,0.6212173694057018,1,0.37476272875338,31.70064455557826,0.004019901840918243,false,C111
ENST00000377850.SLC17A2,208,528,0.4277520437645723,0.5,0.5631729618810695,0,0,0.6657542652464258,5.951007805245586,0.3449044819236843,0.7619842396436665,0,0.799944604443729,0,0.03962661383944661,1.146851540065217,0.1604287817168245,0,0.5629897394407722,0,0.1889497750596805,0.6521776328092996,0.2480604854995473,false,C000
ENST00000370153.SLC35A3,216,448,4.454769886308441e-13,0,0.00004037866949768709,4,28,21.65234146737295,5.123375405902099,0.3908515069726712,1.054119537522402,0,0.06302265137224773,0.1131848402038023,0.9353001214244135,261.2991119597176,0.001677227203338731,0,0.8907415197458429,1,0.1040730806675544,33.06263311141866,0.005185399586602678,false,C111
ENST00000437633.DOCK4,214,2258,0.002414516111908072,0,1,1,30,0.4468353713650875,4.733833158687269,2.07200923085793e-12,0.8104703423333431,0,0.4606705106605422,0.1137337949275261,0.5366875433896716,13.45755380197884,0.002641945949786206,0,0.03728857107947554,0.04170506773600929,0.9624803381283462,398.6958162393914,0.0002310907921782432,false,C110
ENST00000379705.TRPC4,215,1074,0.5,0.5,1.37471922734278e-10,0,0,0.24205708932078698,4.750316268000422,3.33066907387547e-14,0.3627225957521862,0,0.5127111805892279,0.1123073287546129,0.4170056462486906,1,0.07028317316208148,0.01010400747471446,0.8022888895398431,0.04969244267613513,0.1368737195830957,0.6034343765949829,0.06083739087706115,false,C001
ENST00000401617.CLIP4,219,724,0.000004363969436482762,0,0.00987279131744423,1,38,0.7134946966259519,21.484862709094795,0.0005106542018661342,0.6691567754771929,0.03041720268346735,0.8132436547901843,1,0.1835090646840082,46.17328049652469,0.003247280525807453,0,0.7943284443484911,1,0.2035072500153396,654.5985267157749,0.002164305636169207,false,C111
ENST00000647500.FRY,215,3246,0.5,0,2.585442613334266e-7,0,26,0.354329803384317,4.284149320333467,0.000001583834815743757,0.8635399865412203,0.008035648276241928,0.3143000933767818,0.01624227031773086,0.6379202408968454,1,0.04777966572637277,0,0.1094342433301973,0.04584717164059367,0.8903176587748718,44.0511359141275,0.0002480978949309311,false,C011
ENST00000256552.TRPM1,214,1754,0.0001758275621340233,0,1.724598241992226e-11,1,7,2400959.714305162,7.143192043812681,9.360845432127007e-12,0.7653113316680926,0.03985781179873085,0.8300404287344564,1,0.1697031797469249,9999999171.59636,0.0002563915186187194,0.02806171575471583,0.8272971311003116,0.6352957351014865,0.1719281435904883,71.19518953972,0.0007747253092001041,false,C111
ENST00000313080.RHBDF2,209,1252,2.230415463433388e-9,0,0.005391491386763758,7,61,0.5661322404571629,7.593224065951903,0.00002446497501551459,0.7948723844930263,0,0.1991784026364371,0.1186829967974879,0.7969875924127158,34.94499177704594,0.003834004950847108,0,0.006172285919656917,0.06267136118089799,0.990109812706379,38.79819040633532,0.003717901373964094,false,C111
ENST00000315366.ARSJ,206,806,2.157586493356511e-7,1.048614706178341e-8,8.647937921324456e-11,4,2,2.7345943560179475,6.6256555286584815,0.0001762263212972126,0.7507110662926001,0,0.03988914357055738,0.1794082734611651,0.9586851120482364,2054.535016300093,0.001425744381206252,0.02817950607316761,0.8845763243350951,0.8010782274691227,0.114092403363049,21.62612711154826,0.001331272301855818,false,C111
ENST00000538545.ACTN1,218,1194,0,0,0.3207058548177258,22,87,1.0227464178628078,15.583411966525857,0.2550317561226215,0.9297096309746482,0.001119403942763209,0.5803599873396562,0.06202279600634616,0.414290122008359,153.5733497595009,0.005349890651984783,0,0.5785868415225064,0.04863172742025495,0.4168081306131658,222.7057395066522,0.004605027864327846,false,C110
ENST00000445273.HSPH1,216,862,0.0001687986759860705,4.672040532227584e-11,0.0009320173857586544,3,11,0.3848540793078125,4.135666497701454,0.000005318482383387391,0.7498511504461234,0,0.08172591459571696,0.1543890554234833,0.9166878484223591,31.81460281641752,0.001586236981923984,0,0.02609628493312669,0.09456425311324876,0.9723413231715233,19.46005076008383,0.00156239189534998,false,C111
ENST00000646066.SAMHD1,214,725,0,0,3.302877260580317e-8,14,124,0.991070410477361,8.31203278215252,0.4511902794731276,1.068301657117767,0.2288185255735522,0.4877602760994634,0.5650440233716909,0.4515093621844698,10.14370169922089,0.06073036171606684,0,0.1907560110901498,0.3116382218180826,0.776463755289879,9.552702035155857,0.03278023361997127,false,C111
ENST00000367317.TNNT2,205,434,0.1342252072139092,0.0003879310034547445,0.09170975501334688,0,4,0.5110058285401103,5.093577744951231,0.9840269982026018,0.9979814114290263,0,0.05752861616219795,0,0.8705184172596273,1.826260917549976,0.07195296657817472,0.05745754551527928,0.01913221160758883,0.08056082586147387,0.977621536170129,9.937782293165464,0.003246252222282132,false,C011
ENST00000367926.UAP1,214,541,0.5,0.01116099915444907,7.441824934062424e-13,0,9,0.5629446394217605,4.855136560708857,3.219646771412954e-15,0.6446918006463536,0,0.5775059344173622,0.2548046468640084,0.2999214530554152,1,0.1225726125272226,0,0.0245703613830603,0.06807230635649258,0.9636947019967548,3.05680701110417,0.01173493662018493,false,C011
ENST00000375327.RIBC1,214,686,2.086917860744109e-10,0,0.0008817010744806009,0,5,0.9483589723103584,9.301740619691332,0.1557866277018192,1.168001505492217,0,0.1205947334733096,1,0.8688960344225684,36.7541312993502,0.01050923210412201,0,0.3530219284069289,1,0.6391157104651103,22.65519046404085,0.007862361127960816,false,C111
ENST00000640732.SLC35A3,213,299,0.3681876267975727,0.0190679493072507,0.004278539117660074,0,2,0.33984177417061584,3.382707686833495,0.0000935423763344101,0.7277676107767359,0.05977527120692894,0.1517805018365558,0.08920596420678686,0.8394852043880114,4.339051519473539,0.00873429377543276,0,0.0926599762995913,0.05369935194483225,0.906087494475738,12.02120566807614,0.001252529224670702,false,C011
ENST00000509841.TNIP3,208,533,0.04082324170597351,0,8.54775039638156e-9,0,6,1.0371580194402412,10.031018265546377,0.002559887331190058,0.6301484768611115,0.0002429818788616846,0.002143829074381824,0.4854692882711271,0.983147969419041,9.09634715021281,0.01470820150657714,0,0.4875761662438953,1,0.509142156202273,58.07520584198875,0.003281677553831709,false,C111
